$keys right_ScalpD left_ScalpD right_InnerSquint left_InnerSquint right_OuterSquint left_OuterSquint right_BrowInV left_BrowInV right_BrowOutV left_BrowOutV right_Frown left_Frown right_NoseV left_NoseV right_NostrilFlare left_NostrilFlare right_CheekV left_CheekV right_CheekH left_CheekH JawD JawH JawV right_LipsV left_LipsV right_LipUpV left_LipUpV right_LipLoV left_LipLoV right_Platysmus left_Platysmus right_FoldLipUp left_FoldLipUp right_FoldLipLo left_FoldLipLo right_PuckerLipUp left_PuckerLipUp right_PuckerLipLo left_PuckerLipLo right_LipCnrTwst left_LipCnrTwst right_Dimple left_Dimple right_LipStick left_LipStick right_PuffLipUp left_PuffLipUp right_PuffLipLo left_PuffLipLo right_Smile left_Smile multi_Smile TongueV TongueD TongueH TongueCurl TongueFunnel TongueWidth 
$hasweighting
$normalized
"b" 	"b" 	0.50000	1.000	0.50000	1.000	0.00000	1.000	0.00000	1.000	0.00000	1.000	0.00000	1.000	0.50000	1.000	0.50000	1.000	0.00000	1.000	0.00000	1.000	0.00000	1.000	0.00000	1.000	0.50000	1.000	0.50000	1.000	0.50000	1.000	0.50000	1.000	0.00000	1.000	0.00000	1.000	0.50000	1.000	0.50000	1.000	0.50000	1.000	0.50000	1.000	0.50000	1.000	0.00000	1.000	0.00000	1.000	0.50000	1.000	0.50000	1.000	0.50000	1.000	0.50000	1.000	0.00000	1.000	0.00000	1.000	0.50000	1.000	0.50000	1.000	0.50000	1.000	0.50000	1.000	0.00000	1.000	0.00000	1.000	0.00000	1.000	0.00000	1.000	0.00000	1.000	0.00000	1.000	0.00000	1.000	0.00000	1.000	0.00000	1.000	0.00000	1.000	0.52600	1.000	0.52600	1.000	0.46900	1.000	0.46900	1.000	0.00000	0.000	0.00000	0.000	0.000	0.000	0.00000	0.000	0.50000	0.000	0.50000	0.000	0.50000	0.000	0.00000	0.000	0.50000	0.000	"Big : voiced alveolar stop"
"m" 	"m" 	0.50000	1.000	0.50000	1.000	0.00000	1.000	0.00000	1.000	0.00000	1.000	0.00000	1.000	0.50000	1.000	0.50000	1.000	0.00000	1.000	0.00000	1.000	0.00000	1.000	0.00000	1.000	0.50000	1.000	0.50000	1.000	0.50000	1.000	0.50000	1.000	0.00000	1.000	0.00000	1.000	0.50000	1.000	0.50000	1.000	0.50000	1.000	0.50000	1.000	0.50000	1.000	0.00000	1.000	0.00000	1.000	0.50000	1.000	0.50000	1.000	0.50000	1.000	0.50000	1.000	0.00000	1.000	0.00000	1.000	0.50000	1.000	0.50000	1.000	0.50000	1.000	0.50000	1.000	0.00000	1.000	0.00000	1.000	0.00000	1.000	0.00000	1.000	0.00000	1.000	0.00000	1.000	0.00000	1.000	0.00000	1.000	0.00000	1.000	0.00000	1.000	0.52600	1.000	0.52600	1.000	0.46900	1.000	0.46900	1.000	0.00000	0.000	0.00000	0.000	0.000	0.000	0.00000	0.000	0.50000	0.000	0.50000	0.000	0.50000	0.000	0.00000	0.000	0.50000	0.000	"Mat : voiced bilabial nasal"
"p" 	"p" 	0.50000	1.000	0.50000	1.000	0.00000	1.000	0.00000	1.000	0.00000	1.000	0.00000	1.000	0.50000	1.000	0.50000	1.000	0.00000	1.000	0.00000	1.000	0.00000	1.000	0.00000	1.000	0.50000	1.000	0.50000	1.000	0.50000	1.000	0.50000	1.000	0.00000	1.000	0.00000	1.000	0.50000	1.000	0.50000	1.000	0.50000	1.000	0.50000	1.000	0.59000	1.000	0.28500	1.000	0.28500	1.000	0.50000	1.000	0.50000	1.000	0.50000	1.000	0.50000	1.000	0.00000	1.000	0.00000	1.000	0.35000	1.000	0.35000	1.000	0.33500	1.000	0.33500	1.000	0.38250	1.000	0.38250	1.000	0.35250	1.000	0.35250	1.000	0.00000	1.000	0.00000	1.000	0.23250	1.000	0.23250	1.000	0.000	0.000	0.000	0.000	0.52600	1.000	0.52600	1.000	0.46900	1.000	0.46900	1.000	0.00000	0.000	0.00000	0.000	0.000	0.000	0.00000	0.000	0.50000	0.000	0.50000	0.000	0.50000	0.000	0.00000	0.000	0.50000	0.000	"Put; voiceless alveolar stop"
"w" 	"w" 	0.50000	1.000	0.50000	1.000	0.00000	1.000	0.00000	1.000	0.00000	1.000	0.00000	1.000	0.50000	1.000	0.50000	1.000	0.00000	1.000	0.00000	1.000	0.00000	1.000	0.00000	1.000	0.50000	1.000	0.50000	1.000	0.50000	1.000	0.50000	1.000	0.00000	1.000	0.00000	1.000	0.50000	1.000	0.50000	1.000	0.50000	1.000	0.50000	1.000	0.75850	1.000	0.53200	1.000	0.53200	1.000	0.50000	1.000	0.50000	1.000	0.54500	1.000	0.54500	1.000	0.00000	1.000	0.00000	1.000	0.50000	1.000	0.50000	1.000	0.50000	1.000	0.50000	1.000	1.00000	1.000	1.00000	1.000	1.00000	1.000	1.00000	1.000	0.00000	1.000	0.00000	1.000	0.00000	1.000	0.00000	1.000	0.00000	1.000	0.00000	1.000	0.00000	1.000	0.00000	1.000	0.00000	1.000	0.00000	1.000	0.00000	0.000	0.00000	0.000	0.000	0.000	0.00000	0.000	0.50000	0.000	0.50000	0.000	0.50000	0.000	0.00000	0.000	0.50000	0.000	"With : voiced labial-velar approximant"
"f" 	"f" 	0.50000	1.000	0.50000	1.000	0.00000	1.000	0.00000	1.000	0.00000	1.000	0.00000	1.000	0.50000	1.000	0.50000	1.000	0.00000	1.000	0.00000	1.000	0.00000	1.000	0.00000	1.000	0.50000	1.000	0.50000	1.000	0.50000	1.000	0.50000	1.000	0.00000	1.000	0.00000	1.000	0.50000	1.000	0.50000	1.000	0.47000	1.000	0.50000	1.000	0.59050	1.000	0.50000	1.000	0.50000	1.000	0.84050	1.000	0.84050	1.000	0.50000	1.000	0.50000	1.000	0.00000	1.000	0.00000	1.000	0.16500	1.000	0.16500	1.000	0.07500	1.000	0.07500	1.000	0.00000	1.000	0.00000	1.000	0.00000	1.000	0.00000	1.000	0.00000	1.000	0.00000	1.000	0.53250	1.000	0.53250	1.000	0.00000	1.000	0.00000	1.000	0.00000	1.000	0.00000	1.000	0.00000	1.000	0.00000	1.000	0.09000	1.000	0.09000	1.000	0.50000	1.000	0.00000	0.000	0.50000	0.000	0.50000	0.000	0.50000	0.000	0.00000	0.000	0.50000	0.000	"Fork : voiceless labiodental fricative"
"v" 	"v" 	0.50000	1.000	0.50000	1.000	0.00000	1.000	0.00000	1.000	0.00000	1.000	0.00000	1.000	0.50000	1.000	0.50000	1.000	0.00000	1.000	0.00000	1.000	0.00000	1.000	0.00000	1.000	0.50000	1.000	0.50000	1.000	0.50000	1.000	0.50000	1.000	0.00000	1.000	0.00000	1.000	0.50000	1.000	0.50000	1.000	0.47000	1.000	0.50000	1.000	0.59050	1.000	0.50000	1.000	0.50000	1.000	0.84050	1.000	0.84050	1.000	0.50000	1.000	0.50000	1.000	0.00000	1.000	0.00000	1.000	0.16500	1.000	0.16500	1.000	0.07500	1.000	0.07500	1.000	0.00000	1.000	0.00000	1.000	0.00000	1.000	0.00000	1.000	0.00000	1.000	0.00000	1.000	0.53250	1.000	0.53250	1.000	0.00000	1.000	0.00000	1.000	0.00000	1.000	0.00000	1.000	0.00000	1.000	0.00000	1.000	0.09000	1.000	0.09000	1.000	0.50000	1.000	0.00000	0.000	0.50000	0.000	0.50000	0.000	0.50000	0.000	0.00000	0.000	0.50000	0.000	"Val : voiced labialdental fricative"
"r" 	"0x279"	0.50000	1.000	0.50000	1.000	0.00000	1.000	0.00000	1.000	0.00000	1.000	0.00000	1.000	0.50000	1.000	0.50000	1.000	0.00000	1.000	0.00000	1.000	0.00000	1.000	0.00000	1.000	0.50000	1.000	0.50000	1.000	0.50000	1.000	0.50000	1.000	0.00000	1.000	0.00000	1.000	0.50000	1.000	0.50000	1.000	0.66900	1.000	0.50000	1.000	0.56650	1.000	0.55750	1.000	0.55750	1.000	0.52250	1.000	0.52250	1.000	0.66350	1.000	0.66350	1.000	0.00000	1.000	0.00000	1.000	0.80750	1.000	0.80750	1.000	0.91250	1.000	0.91250	1.000	0.93000	1.000	0.93000	1.000	0.81000	1.000	0.81000	1.000	0.00000	1.000	0.00000	1.000	0.00000	1.000	0.00000	1.000	0.000	0.000	0.000	0.000	0.00000	1.000	0.00000	1.000	0.00000	1.000	0.00000	1.000	0.00000	0.000	0.00000	0.000	0.000	0.000	0.00000	0.000	0.50000	0.000	0.50000	0.000	0.50000	0.000	0.00000	0.000	0.50000	0.000	"Red : voiced alveolar approximant"
"r2" 	"r" 	0.50000	1.000	0.50000	1.000	0.00000	1.000	0.00000	1.000	0.00000	1.000	0.00000	1.000	0.50000	1.000	0.50000	1.000	0.00000	1.000	0.00000	1.000	0.00000	1.000	0.00000	1.000	0.50000	1.000	0.50000	1.000	0.50000	1.000	0.50000	1.000	0.00000	1.000	0.00000	1.000	0.50000	1.000	0.50000	1.000	0.66900	1.000	0.50000	1.000	0.56650	1.000	0.55750	1.000	0.55750	1.000	0.52250	1.000	0.52250	1.000	0.66350	1.000	0.66350	1.000	0.00000	1.000	0.00000	1.000	0.80750	1.000	0.80750	1.000	0.91250	1.000	0.91250	1.000	0.93000	1.000	0.93000	1.000	0.81000	1.000	0.81000	1.000	0.00000	1.000	0.00000	1.000	0.00000	1.000	0.00000	1.000	0.000	0.000	0.000	0.000	0.00000	1.000	0.00000	1.000	0.00000	1.000	0.00000	1.000	0.00000	0.000	0.00000	0.000	0.000	0.000	0.00000	0.000	0.50000	0.000	0.50000	0.000	0.50000	0.000	0.00000	0.000	0.50000	0.000	"Red : voiced alveolar trill"
"r3" 	"0x27b"	0.50000	1.000	0.50000	1.000	0.00000	1.000	0.00000	1.000	0.00000	1.000	0.00000	1.000	0.50000	1.000	0.50000	1.000	0.00000	1.000	0.00000	1.000	0.00000	1.000	0.00000	1.000	0.50000	1.000	0.50000	1.000	0.50000	1.000	0.50000	1.000	0.00000	1.000	0.00000	1.000	0.50000	1.000	0.50000	1.000	0.66900	1.000	0.50000	1.000	0.56650	1.000	0.55750	1.000	0.55750	1.000	0.52250	1.000	0.52250	1.000	0.66350	1.000	0.66350	1.000	0.00000	1.000	0.00000	1.000	0.80750	1.000	0.80750	1.000	0.91250	1.000	0.91250	1.000	0.93000	1.000	0.93000	1.000	0.81000	1.000	0.81000	1.000	0.00000	1.000	0.00000	1.000	0.00000	1.000	0.00000	1.000	0.000	0.000	0.000	0.000	0.00000	1.000	0.00000	1.000	0.00000	1.000	0.00000	1.000	0.00000	0.000	0.00000	0.000	0.000	0.000	0.00000	0.000	0.50000	0.000	0.50000	0.000	0.50000	0.000	0.00000	0.000	0.50000	0.000	"Red : voiced retroflex approximant"
"er" 	"0x25a"	0.50000	1.000	0.50000	1.000	0.00000	1.000	0.00000	1.000	0.00000	1.000	0.00000	1.000	0.50000	1.000	0.50000	1.000	0.00000	1.000	0.00000	1.000	0.00000	1.000	0.00000	1.000	0.50000	1.000	0.50000	1.000	0.50000	1.000	0.50000	1.000	0.00000	1.000	0.00000	1.000	0.50000	1.000	0.50000	1.000	0.66900	1.000	0.50000	1.000	0.67150	1.000	0.53500	1.000	0.53500	1.000	0.62750	1.000	0.62750	1.000	0.69350	1.000	0.69350	1.000	0.00000	1.000	0.00000	1.000	0.62750	1.000	0.62750	1.000	0.66500	1.000	0.66500	1.000	0.72000	1.000	0.72000	1.000	0.69750	1.000	0.69750	1.000	0.00000	1.000	0.00000	1.000	0.00000	1.000	0.00000	1.000	0.000	0.000	0.000	0.000	0.00000	1.000	0.00000	1.000	0.00000	1.000	0.00000	1.000	0.00000	0.000	0.00000	0.000	0.000	0.000	0.00000	0.000	0.50000	0.000	0.50000	0.000	0.50000	0.000	0.00000	0.000	0.50000	0.000	"URn : rhotacized schwa"
