$keys right_Dimple left_Dimple right_FoldLipLo left_FoldLipLo right_FoldLipUp left_FoldLipUp JawH JawD JawV right_OuterSquint left_OuterSquint right_InnerSquint left_InnerSquint right_ScalpD left_ScalpD right_Frown left_Frown right_BrowOutV left_BrowOutV right_BrowInV left_BrowInV right_CloseLid left_CloseLid multi_CloseLid blink right_LipsV left_LipsV right_LipUpV left_LipUpV right_LipLoV left_LipLoV right_PuckerLipUp left_PuckerLipUp right_PuckerLipLo left_PuckerLipLo right_PuffLipUp left_PuffLipUp right_PuffLipLo left_PuffLipLo right_Smile left_Smile multi_Smile right_Platysmus left_Platysmus right_LipCnrTwst left_LipCnrTwst right_NoseV left_NoseV right_NostrilFlare left_NostrilFlare right_CheekV left_CheekV right_CheekH left_CheekH TongueV TongueD TongueH TongueCurl TongueFunnel TongueWidth eyes_updown eyes_rightleft localViewTargetFactor eyes_convergence multi_Smile 
$hasweighting
$normalized
"silence" 	"_" 	0.26667	1.000	0.26667	1.000	0.40063	1.000	0.45303	1.000	0.46292	1.000	0.48182	1.000	0.45758	1.000	0.60606	1.000	0.46364	1.000	0.05909	1.000	0.11818	1.000	0.08182	1.000	0.16364	1.000	0.68333	1.000	0.86667	1.000	0.03939	1.000	0.07879	1.000	0.03636	1.000	0.07273	1.000	0.51928	1.000	0.68485	1.000	0.50000	0.000	0.50000	0.000	0.000	0.000	0.000	0.000	0.50000	0.000	0.50000	0.000	0.50000	0.000	0.50000	0.000	0.50000	0.000	0.50000	0.000	0.00000	0.000	0.00000	0.000	0.00000	0.000	0.00000	0.000	0.00000	0.000	0.00000	0.000	0.00000	0.000	0.00000	0.000	0.00000	0.000	0.00000	0.000	0.00000	0.000	0.00000	0.000	0.00000	0.000	0.00000	0.000	0.00000	0.000	0.50000	0.000	0.50000	0.000	0.50000	0.000	0.50000	0.000	0.00000	0.000	0.00000	0.000	0.50000	0.000	0.50000	0.000	0.00000	0.000	0.50000	0.000	0.50000	0.000	0.50000	0.000	0.00000	0.000	0.50000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	"silence"
"happySmall" 	"_" 	0.56757	1.000	0.56757	1.000	0.50000	1.000	0.50000	1.000	0.50000	1.000	0.50000	1.000	0.50000	1.000	0.55160	1.000	0.47052	1.000	0.00000	1.000	0.00000	1.000	0.00000	1.000	0.00000	1.000	0.50000	1.000	0.50000	1.000	0.00000	1.000	0.00000	1.000	-0.36329	1.000	0.28256	1.000	0.63268	1.000	0.63268	1.000	0.50000	1.000	0.50000	1.000	0.50000	1.000	0.00000	1.000	0.59582	1.000	0.59582	1.000	0.62531	1.000	0.62531	1.000	0.59582	1.000	0.59582	1.000	0.00000	1.000	0.00000	1.000	0.00000	1.000	0.00000	1.000	0.00000	1.000	0.00000	1.000	0.00000	1.000	0.00000	1.000	0.87961	1.000	0.87961	1.000	0.76290	1.000	0.00000	1.000	0.00000	1.000	0.00000	1.000	0.00000	1.000	0.56143	1.000	0.56143	1.000	0.57125	1.000	0.57125	1.000	0.00000	1.000	0.00000	1.000	0.50000	1.000	0.50000	1.000	0.00000	1.000	0.50000	1.000	0.50000	1.000	0.50000	1.000	0.00000	1.000	0.50000	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	"happySmall"
"madUpper" 	"_" 	0.00000	1.000	0.00000	1.000	0.50000	1.000	0.50000	1.000	0.50000	1.000	0.50000	1.000	0.50000	1.000	0.50000	1.000	0.50000	1.000	0.00000	1.000	0.00000	1.000	0.38052	1.000	0.56265	1.000	0.50000	1.000	0.50000	1.000	0.86732	1.000	0.86732	1.000	0.00000	1.000	0.13268	1.000	-0.09320	1.000	0.55651	1.000	0.50000	1.000	0.50000	1.000	0.50000	1.000	0.00000	1.000	0.50000	1.000	0.50000	1.000	0.50000	1.000	0.50000	1.000	0.50000	1.000	0.50000	1.000	0.00000	1.000	0.00000	1.000	0.00000	1.000	0.00000	1.000	0.00000	1.000	0.00000	1.000	0.00000	1.000	0.00000	1.000	0.00000	1.000	0.00000	1.000	0.50000	1.000	0.00000	1.000	0.00000	1.000	0.00000	1.000	0.00000	1.000	0.64496	1.000	0.64496	1.000	0.64742	1.000	0.64742	1.000	0.11057	1.000	0.11057	1.000	0.65233	1.000	0.65233	1.000	0.00000	1.000	0.50000	1.000	0.50000	1.000	0.50000	1.000	0.00000	1.000	0.50000	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	"madUpper"
"specialAction01Upper" 	"_" 	0.00000	1.000	0.00000	1.000	0.50000	1.000	0.50000	1.000	0.50000	1.000	0.50000	1.000	0.50000	1.000	0.50000	1.000	0.50000	1.000	0.28010	1.000	0.28010	1.000	0.50369	1.000	0.50369	1.000	0.50000	1.000	0.50000	1.000	0.24079	1.000	0.24079	1.000	0.04177	1.000	0.04177	1.000	0.34767	1.000	0.34767	1.000	0.50000	1.000	0.50000	1.000	0.50000	1.000	0.00000	1.000	0.50000	1.000	0.50000	1.000	0.50000	1.000	0.50000	1.000	0.50000	1.000	0.50000	1.000	0.00000	1.000	0.00000	1.000	0.00000	1.000	0.00000	1.000	0.00000	1.000	0.00000	1.000	0.00000	1.000	0.00000	1.000	0.00000	1.000	0.00000	1.000	0.50000	1.000	0.00000	1.000	0.00000	1.000	0.00000	1.000	0.00000	1.000	0.54423	1.000	0.54423	1.000	0.50000	1.000	0.50000	1.000	0.13759	1.000	0.13759	1.000	0.55405	1.000	0.55405	1.000	0.00000	1.000	0.50000	1.000	0.50000	1.000	0.50000	1.000	0.00000	1.000	0.50000	1.000	0.50000	1.000	0.50000	1.000	0.00000	1.000	0.50000	1.000	0.000	0.000	"specialAction01Upper"
"painBig" 	"_" 	0.75184	1.000	0.75184	1.000	0.51597	1.000	0.51597	1.000	0.52826	1.000	0.52826	1.000	0.50000	1.000	0.54914	1.000	0.81818	1.000	-0.23163	1.000	0.29975	1.000	0.00000	1.000	0.00000	1.000	0.50000	1.000	0.50000	1.000	0.34152	1.000	0.46437	1.000	0.24457	1.000	0.37346	1.000	0.75153	1.000	1.00000	1.000	0.50000	1.000	0.50000	1.000	0.50000	1.000	0.00000	1.000	0.73956	1.000	0.73956	1.000	0.63145	1.000	0.63145	1.000	0.64865	1.000	0.64865	1.000	0.00000	1.000	0.00000	1.000	0.00000	1.000	0.00000	1.000	0.00000	1.000	0.00000	1.000	0.00000	1.000	0.00000	1.000	0.00000	1.000	0.00000	1.000	0.00000	1.000	0.00000	1.000	0.00000	1.000	0.37982	1.000	0.40049	1.000	0.38171	1.000	1.00000	1.000	0.63759	1.000	0.63759	1.000	0.00000	1.000	0.00000	1.000	0.50000	1.000	0.50000	1.000	0.14988	1.000	0.49754	1.000	0.48034	1.000	0.54423	1.000	0.00000	1.000	0.50000	1.000	0.50000	1.000	0.50000	1.000	0.00000	1.000	0.50000	1.000	0.50000	1.000	"painBig"
"painSmall" 	"_" 	0.00000	1.000	0.00000	1.000	0.50000	1.000	0.50000	1.000	0.02607	1.000	0.36732	1.000	0.50000	1.000	0.50000	1.000	0.67936	1.000	0.00000	1.000	0.00000	1.000	0.00000	1.000	0.00000	1.000	0.50000	1.000	0.50000	1.000	0.42015	1.000	0.42015	1.000	-0.41769	1.000	0.20885	1.000	0.77692	1.000	0.93489	1.000	0.50000	1.000	0.50000	1.000	0.50000	1.000	0.00000	1.000	0.73833	1.000	0.73833	1.000	0.78501	1.000	0.78501	1.000	0.56880	1.000	0.56880	1.000	0.00000	1.000	0.00000	1.000	0.00000	1.000	0.00000	1.000	0.00000	1.000	0.00000	1.000	0.00000	1.000	0.00000	1.000	0.00000	1.000	0.00000	1.000	0.50000	1.000	0.00000	1.000	0.00000	1.000	0.19902	1.000	0.21867	1.000	0.52490	1.000	0.60565	1.000	0.49245	1.000	0.56142	1.000	-0.46192	1.000	0.23096	1.000	0.47218	1.000	0.61794	1.000	0.00000	1.000	0.50000	1.000	0.50000	1.000	0.50000	1.000	0.00000	1.000	0.50000	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	"painSmall"
"mad" 	"_" 	0.00000	1.000	0.00000	1.000	0.50000	1.000	0.75553	1.000	0.61057	1.000	0.88329	1.000	0.64251	1.000	0.50000	1.000	0.49754	1.000	0.08835	1.000	0.43735	1.000	0.55037	1.000	0.55037	1.000	0.50000	1.000	0.50000	1.000	0.47566	1.000	1.00000	1.000	0.00000	1.000	0.24570	1.000	0.02629	1.000	0.48526	1.000	0.50000	1.000	0.50000	1.000	0.50000	1.000	0.00000	1.000	0.50000	1.000	0.50000	1.000	0.67199	1.000	0.78993	1.000	0.59972	1.000	0.76044	1.000	0.00000	1.000	0.00000	1.000	0.00000	1.000	0.00000	1.000	0.00000	1.000	0.00000	1.000	0.00000	1.000	0.00000	1.000	0.00000	1.000	0.00000	1.000	0.50000	1.000	0.20639	1.000	0.33415	1.000	0.25307	1.000	0.36609	1.000	0.50000	1.000	0.50000	1.000	0.50000	1.000	0.50000	1.000	0.00000	1.000	0.00000	1.000	0.50000	1.000	0.50000	1.000	0.00000	1.000	0.50000	1.000	0.50000	1.000	0.50000	1.000	0.00000	1.000	0.50000	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	"mad"
"defaultFace" 	"_" 	0.00000	1.000	0.08718	1.000	0.36667	1.000	0.36667	1.000	0.53333	1.000	0.53333	1.000	0.50000	1.000	0.50000	1.000	0.43590	1.000	0.02222	1.000	0.06667	1.000	0.06410	1.000	0.23077	1.000	0.76923	1.000	0.76923	1.000	0.12821	1.000	0.12821	1.000	0.00000	1.000	0.00000	1.000	0.33077	1.000	0.39846	1.000	0.50000	1.000	0.50000	1.000	0.50000	1.000	0.00000	1.000	0.50000	1.000	0.50000	1.000	0.49967	1.000	0.51282	1.000	0.38718	1.000	0.50000	1.000	0.00000	1.000	0.00000	1.000	0.00000	1.000	0.00000	1.000	0.00000	1.000	0.00000	1.000	0.00000	1.000	0.00000	1.000	0.12029	1.000	0.12564	1.000	0.67179	1.000	0.00000	1.000	0.00000	1.000	0.00000	1.000	0.00000	1.000	0.54299	1.000	0.57436	1.000	0.50000	1.000	0.50000	1.000	0.31538	1.000	0.31538	1.000	0.53435	1.000	0.55897	1.000	0.00000	1.000	0.50000	1.000	0.50000	1.000	0.50000	1.000	0.00000	1.000	0.50000	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	"defaultFace"
"happyBig" 	"_" 	0.57740	1.000	0.57740	1.000	0.48526	1.000	0.48526	1.000	0.64742	1.000	0.64742	1.000	0.50000	1.000	0.70084	1.000	0.44520	1.000	0.00000	1.000	0.00000	1.000	0.00000	1.000	0.00000	1.000	0.50000	1.000	0.50000	1.000	0.12285	1.000	0.12285	1.000	0.34889	1.000	0.34889	1.000	0.69261	1.000	0.83661	1.000	0.50000	1.000	0.50000	1.000	0.50000	1.000	0.00000	1.000	0.50000	1.000	0.50000	1.000	0.63022	1.000	0.63022	1.000	0.69410	1.000	0.69410	1.000	0.00000	1.000	0.00000	1.000	0.00000	1.000	0.00000	1.000	0.00000	1.000	0.00000	1.000	0.00000	1.000	0.00000	1.000	0.87469	1.000	0.87469	1.000	0.70639	1.000	0.24079	1.000	0.24079	1.000	0.00000	1.000	0.00000	1.000	0.61057	1.000	0.61057	1.000	0.56880	1.000	0.56880	1.000	0.30221	1.000	0.30221	1.000	0.55651	1.000	0.55651	1.000	0.00000	1.000	0.50000	1.000	0.50000	1.000	0.50000	1.000	0.00000	1.000	0.50000	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	"happyBig"
"scared" 	"_" 	0.00000	1.000	0.00000	1.000	0.20000	1.000	0.29487	1.000	0.39487	1.000	0.50000	1.000	0.50000	1.000	0.51795	1.000	0.76154	1.000	0.14442	1.000	0.42051	1.000	0.00000	1.000	0.00000	1.000	-0.20513	1.000	0.10256	1.000	0.17389	1.000	0.28897	1.000	-0.39077	1.000	0.19538	1.000	0.91282	1.000	0.91282	1.000	0.50000	1.000	0.50000	1.000	0.50000	1.000	0.00000	1.000	0.63590	1.000	0.63590	1.000	0.68042	1.000	0.71538	1.000	0.58884	1.000	0.61282	1.000	0.21026	1.000	0.26667	1.000	0.23333	1.000	0.23333	1.000	0.00000	1.000	0.00000	1.000	0.00000	1.000	0.00000	1.000	0.00000	1.000	0.00000	1.000	0.50000	1.000	-0.07771	1.000	0.47179	1.000	0.18605	1.000	0.30769	1.000	0.47436	1.000	0.52615	1.000	0.61538	1.000	0.68974	1.000	-0.90516	1.000	0.73077	1.000	0.47436	1.000	0.57949	1.000	0.00000	0.000	0.50000	0.000	0.50000	0.000	0.50000	0.000	0.00000	0.000	0.50000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	"scared"
